A,A2,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,A9,xcoord,ycoord
4413010600100270000,4413010600,천안시,1,일반, 영성동 27,1996,1,2000000,213197.953,467232.4985
4413010600100320000,4413010600,천안시,1,일반, 영성동 32,1996,1,2200000,213170.0249,467211.7684
4413010600100470025,4413010600,천안시,1,일반, 영성동 47-25,1996,1,2100000,좌표x,좌표x
4413010600100480002,4413010600,천안시,1,일반, 영성동 48-2,1996,1,440000,213250.8868,467128.5044
4413010600100510016,4413010600,천안시,1,일반, 영성동 51-16,1996,1,370000,213199.7387,467182.907
4413010600100510027,4413010600,천안시,1,일반, 영성동 51-27,1996,1,1900000,213223.9929,467212.9617
4413010600100530020,4413010600,천안시,1,일반, 영성동 53-20,1996,1,850000,213258.7021,467187.2669
4413010600100530040,4413010600,천안시,1,일반, 영성동 53-40,1996,1,1500000,213305.7589,467211.2456
4413010600100550025,4413010600,천안시,1,일반, 영성동 55-25,1996,1,320000,213319.5186,467156.9969
4413010600100650003,4413010600,천안시,1,일반, 영성동 65-3,1996,1,390000,213360.632,466787.5804
4413010600100670003,4413010600,천안시,1,일반, 영성동 67-3,1996,1,1000000,213301.8117,466755.5465
4413010600100700006,4413010600,천안시,1,일반, 영성동 70-6,1996,1,540000,213307.1677,466997.9093
4413010600100700013,4413010600,천안시,1,일반, 영성동 70-13,1996,1,360000,좌표x,좌표x
4413010600100750003,4413010600,천안시,1,일반, 영성동 75-3,1996,1,1250000,213331.9716,467051.5634
4413010600100770001,4413010600,천안시,1,일반, 영성동 77-1,1996,1,650000,213283.1406,467113.6468
4413010600100840002,4413010600,천안시,1,일반, 영성동 84-2,1996,1,1900000,213185.0441,467070.0785
4413010600100900008,4413010600,천안시,1,일반, 영성동 90-8,1996,1,2100000,213193.9137,467038.6525
4413010600100920001,4413010600,천안시,1,일반, 영성동 92-1,1996,1,1400000,213271.8654,467037.7364
4413010600100940002,4413010600,천안시,1,일반, 영성동 94-2,1996,1,350000,213242.7551,466987.4318
4413010600100940004,4413010600,천안시,1,일반, 영성동 94-4,1996,1,1300000,213209.6253,466870.0626
4413010600100960007,4413010600,천안시,1,일반, 영성동 96-7,1996,1,1550000,213199.6736,466978.7737
4413010600100990001,4413010600,천안시,1,일반, 영성동 99-1,1996,1,1600000,213206.47,466935.9207
4413010600101080007,4413010600,천안시,1,일반, 영성동 108-7,1996,1,260000,213277.4072,466830.4826
4413010600101090005,4413010600,천안시,1,일반, 영성동 109-5,1996,1,300000,213262.7238,466902.4441
4413010600101090008,4413010600,천안시,1,일반, 영성동 109-8,1996,1,500000,213297.6242,466883.4566
4413010600101110001,4413010600,천안시,1,일반, 영성동 111-1,1996,1,470000,213322.7588,466821.4238
4413010600101200002,4413010600,천안시,1,일반, 영성동 120-2,1996,1,950000,213264.1889,466731.7265
4413010600101270005,4413010600,천안시,1,일반, 영성동 127-5,1996,1,810000,213251.705,466721.5639
4413010600101330005,4413010600,천안시,1,일반, 영성동 133-5,1996,1,380000,213423.8571,467197.7714
4413010600101330012,4413010600,천안시,1,일반, 영성동 133-12,1996,1,420000,213423.2344,467133.9401
4413010600101330015,4413010600,천안시,1,일반, 영성동 133-15,1996,1,1200000,213396.9837,467178.0449
4413010600101340017,4413010600,천안시,1,일반, 영성동 134-17,1996,1,670000,213450.0304,467035.415
4413010600101350010,4413010600,천안시,1,일반, 영성동 135-10,1996,1,820000,좌표x,좌표x
4413010700100040001,4413010700,천안시,1,일반, 오룡동 4-1,1996,1,2600000,213090.3506,467574.631
4413010700100140004,4413010700,천안시,1,일반, 오룡동 14-4,1996,1,3200000,213000.3663,467598.9665
4413010700100280001,4413010700,천안시,1,일반, 오룡동 28-1,1996,1,450000,213049.9932,467565.5307
4413010700100310004,4413010700,천안시,1,일반, 오룡동 31-4,1996,1,950000,213053.1142,467479.835
4413010700100320002,4413010700,천안시,1,일반, 오룡동 32-2,1996,1,470000,213082.4019,467516.823
4413010700100390010,4413010700,천안시,1,일반, 오룡동 39-10,1996,1,1400000,213151.6686,467555.9291
4413010700100400003,4413010700,천안시,1,일반, 오룡동 40-3,1996,1,1600000,213137.6973,467515.956
4413010700100440008,4413010700,천안시,1,일반, 오룡동 44-8,1996,1,370000,213244.0484,467501.2665
4413010700100450010,4413010700,천안시,1,일반, 오룡동 45-10,1996,1,1300000,213251.0175,467529.7271
4413010700100510006,4413010700,천안시,1,일반, 오룡동 51-6,1996,1,1800000,213346.3937,467500.5924
4413010700100520016,4413010700,천안시,1,일반, 오룡동 52-16,1996,1,1600000,213320.3384,467438.4962
4413010700100540000,4413010700,천안시,1,일반, 오룡동 54,1996,1,840000,213298.2678,467418.1178
4413010700100560012,4413010700,천안시,1,일반, 오룡동 56-12,1996,1,1200000,213360.7141,467417.9734
4413010700100630010,4413010700,천안시,1,일반, 오룡동 63-10,1996,1,1350000,좌표x,좌표x
4413010700100650002,4413010700,천안시,1,일반, 오룡동 65-2,1996,1,380000,213314.6929,467361.6549
4413010700100670002,4413010700,천안시,1,일반, 오룡동 67-2,1996,1,410000,좌표x,좌표x
4413010700100750001,4413010700,천안시,1,일반, 오룡동 75-1,1996,1,550000,213238.1515,467351.5008
4413010700100830000,4413010700,천안시,1,일반, 오룡동 83,1996,1,800000,좌표x,좌표x
4413010700101070001,4413010700,천안시,1,일반, 오룡동 107-1,1996,1,1150000,213122.9536,467303.0485
4413010700101100002,4413010700,천안시,1,일반, 오룡동 110-2,1996,1,1250000,213153.6519,467329.9018
